Estado,Localidad,Clave,Lon,Lat,2018,2019,2020,Tmax,Tmin,Tmed
CAMP,"Canasayab, Camp.",CANCA,-90.58,19.3,140.81,351.72,29.4,29.61290323,16.5483871,23.08064516
CAMP,"Candelaria, Camp.",CNDCA,-91.05,18.18,215.4,446.71,22.1,29.51612903,17.22580645,23.37096774
CAMP,"Champotón, Camp.",CHMCA,-90.72,19.36,141.511,233.51,23.0,29.296296299999998,17.37037037,23.33333333
CAMP,"Dzilbachén, Camp. SMN*",DZILBACHEN,-89.72,19.46,10.4,219.2,12.0,29.05666667,16.19333333,22.625
CAMP,"El Carmen, Camp.",CARCA,-91.76,18.65,204.9,304.1,34.2,28.68181818,21.31818182,25.0
CAMP,"Escárcega, Camp.",ESCCA,-90.74,18.6,139.2,275.11,35.9,27.703703700000002,18.25925926,22.98148148
CAMP,"Hecelchakan, Camp.",HECCA,-90.11,20.18,251.0,310.0,30.0,31.451612899999997,19.03225806,25.24193548
CAMP,"Hopelchen, Camp.",HPOCA,-89.85,19.75,196.0,154.1,10.4,29.7,15.23333333,22.46666667
CAMP,"Noh-Yaxché, Camp.",NYXCA,-90.22,19.61,90.9,133.3,14.2,31.33333333,15.76666667,23.55
CAMP,"Observatorio de Campeche, Camp.",COBCA,-90.51,19.84,406.91,296.61,9.4,29.45555556,17.37777778,23.41666667
CAMP,"Palizada, Camp.",PLZCA,-92.09,18.25,157.0,360.5,42.5,28.22580645,18.25806452,23.24193548
CAMP,"Sabancuy, Camp.",SBNCA,-91.18,18.97,244.17,248.81,5.2,27.37931034,17.48275862,22.43103448
CAMP,"Xpujil, Camp.",XPJCA,-89.4,18.5,58.4,141.5,39.0,29.16666667,17.96666667,23.56666667
CHIH,"Abraham González, Chih.",AGZCH,-107.48,28.48,63.56,15.52,1.5,17.0,-3.333333333,6.833333333
CHIH,"Bachíniva, Chih.",BACCH,-107.26,28.77,31.0,8.5,1.0,16.80645161,-1.548387097,7.629032258
CHIH,"Basaseachi, Chih.",BSSCH,-108.21,28.21,144.9,43.9,14.0,17.03870968,-2.312903226,7.362903226
CHIH,"Casas Grandes, Chih.",CAGCH,-107.93,30.38,20.13,66.3,4.6,16.53870968,-0.380645161,8.079032258
CHIH,"Chinipas, Chih.",CNDCH,-108.54,27.42,78.51,2.0,4.0,24.79032258,6.74516129,15.76774194
CHIH,"El Tintero, Chih.",TNTCH,-107.38,29.56,19.52,16.15,2.2,17.74193548,-0.322580645,8.709677419
CHIH,"La Mesa, Chih.",C08270,-105.96,28.77,24.53,30.23,1.7,20.35483871,1.35483871,10.85483871
CHIH,"Las Lajas, Chih.",LJSCH,-107.03,29.88,12.23,19.31,3.1,14.4516129,-0.9032258059999999,6.7741935479999995
CHIH,"Majalca, Chih.",C08099,-106.48,28.8,19.5,10.0,0.0,15.09677419,-2.483870968,6.306451612999999
CHIH,"Observatorio de Chihuahua, Chih.",QIJCH,-106.09,28.66,16.22,24.4,0.0,20.42580645,3.438709677,11.93225806
CHIH,"Ojinaga, Chih.",OJNCH,-104.41,29.56,33.0,57.0,11.8,19.61290323,2.016129032,10.81451613
CHIH,"Tejolocachi, Chih.",C08243,-107.7,28.76,27.2,68.0,3.0,16.93548387,-4.548387097,6.193548387000001
CHIH,"Temósachic, Chih.",TMCCH,-107.85,28.95,41.64,6.43,2.5,18.0516129,-4.032258065,7.009677419
CHIH,"Urique, Chih.",URECH,-107.91,27.22,120.6,35.5,4.0,27.66774194,9.206451612999999,18.43709677
CHIS,"Acala, Chis.",ACACP,-92.8,16.55,139.01,142.21,10.6,30.46774194,15.58064516,23.02419355
CHIS,"Arriaga, Chis.",AROCP,-93.9,16.24,418.91,411.02,0.0,34.51935484,21.71290323,28.11612903
CHIS,"Bochil, Chis. OCFS*",BOCHIL,-92.91,17.0,72.2,170.4,9.9,25.27741935,10.35806452,17.81774194
CHIS,"Boquerón, Chis.",BOQCP,-93.15,16.64,283.4,99.6,0.8,31.48387097,16.58064516,24.03225806
CHIS,"Catarinitas, Chis. SGT*",CATARINITAS,-92.48,15.97,232.2,255.4,1.4,31.55483871,17.09032258,24.32258065
CHIS,"Doctor Belisario Domínguez, Chis.",ANGCP,-92.78,16.4,357.0,181.61,0.0,32.25806452,16.70967742,24.48387097
CHIS,"Grijalva, Chis.",GRICP,-93.12,16.98,249.21,88.02,0.0,30.37096774,16.01612903,23.19354839
CHIS,"Huixtla, Chis. OCFS*",HUIXTLA,-92.47,15.15,516.9,442.9,4.5,38.2516129,20.76451613,29.50806452
CHIS,"Ignacio López Rayón, Chis. OCFS*",ILRAYON,-92.18,14.63,236.5,128.0,2.5,31.53225806,21.13870968,26.33548387
CHIS,"Manuel Moreno Torres, Chis.",CHICP,-93.1,16.94,193.2,124.81,0.5,29.0,17.96666667,23.48333333
CHIS,"Observatorio de San Cristóbal, Chis.",SCOCP,-92.63,16.73,198.1,224.0,2.0,21.67333333,7.493333333,14.58333333
CHIS,"Observatorio de Tuxtla Gutiérrez, Chis.",TXOCP,-93.13,16.75,200.2,118.81,0.0,29.88064516,17.55806452,23.71935484
CHIS,"Puente Concordia, Chis.",PCOCP,-91.97,15.85,181.51,90.61,0.0,29.72580645,13.90322581,21.81451613
CHIS,"Puente Morelos (San Cristóbal Cabañas), Chis.",SCRCP,-92.62,16.74,167.03,286.61,2.4,20.96666667,6.3,13.63333333
CHIS,"Reforma, Chis.",REFCP,-92.67,15.92,418.31,272.6,0.0,31.0,13.87096774,22.43548387
CHIS,"Revolución Mexicana, Chis.",REVCP,-93.08,16.16,238.11,260.8,2.6,29.20967742,14.74193548,21.97580645
CHIS,"Salto de Agua, Chis.",SAACP,-92.35,17.57,77.9,424.2,163.9,27.5,18.26785714,22.88392857
CHIS,"San Miguel, Chis.",SMICP,-92.24,15.78,147.93,102.65,1.3,33.38709677,13.83870968,23.61290323
CHIS,"Santo Domingo, Chis.",SDOCP,-93.06,16.45,283.7,195.9,0.0,30.81666667,16.08333333,23.45
CHIS,"Siltepec, Chis. SGT*",SILTEPEC,-92.32,15.56,232.2,272.6,44.0,26.31071429,15.16428571,20.7375
CHIS,"Tapachula, Chis.",TAPCP,-92.26,14.91,359.91,324.3,0.0,34.47741935,22.31612903,28.39677419
CHIS,"Yamonhó, Chis.",YAMCP,-93.33,17.12,86.11,157.3,34.6,27.21428571,15.92857143,21.57142857
CHIS,"Zapaluta, Chis. SGT*",ZAPALUTA,-92.05,16.12,140.5,119.7,7.6,22.66129032,11.29032258,16.97580645
CHIS,"Ángel Albino Corzo, Chis.",PENCP,-93.46,17.45,73.0,284.83,141.5,27.41304348,19.26086957,23.33695652
COAH,"Ciudad Acuña, Coah.",CDACL,-100.95,29.33,6.0,228.02,24.0,19.48148148,4.814814815,12.14814815
COAH,"Cuatro Ciénegas, Coah.",CCGCL,-102.06,26.98,78.11,31.31,4.3,22.72413793,5.620689655,14.17241379
COAH,"E. C. Saltillo, Coah.",ESLCL,-100.92,25.44,62.21,59.71,54.7,19.32758621,6.379310345,12.85344828
COAH,"El Centenario, Coah.",CNTCL,-100.95,29.21,0.0,176.6,22.0,17.88888889,4.666666667,11.27777778
COAH,"Internacional La Amistad, Coah.",AMSCL,-101.06,29.45,3.0,130.51,22.3,18.17857143,5.607142857,11.89285714
COAH,"Monclova, Coah.",MCVCL,-101.42,26.91,34.7,64.2,1.0,21.1862069,8.313793103,14.75
COAH,"Observatorio de Saltillo, Coah.",SALCL,-101.02,25.38,240.301,61.01,58.8,20.46129032,6.438709677,13.45
COAH,"Piedras Negras, Coah.",PNGCL,-100.53,28.71,0.0,100.3,33.4,19.93333333,6.911111111,13.42222222
COAH,"Progreso, Coah.",PRSCL,-101.0,27.42,4.0,54.02,0.0,20.10344828,4.310344828,12.20689655
COAH,"Saltillo, Coah.",STOCL,-101.02,25.38,91.03,24.32,51.5,19.34482759,7.551724137999999,13.44827586
COAH,"San Pedro, Coah.",SPECL,-102.98,25.76,16.05,20.34,10.2,23.59677419,5.451612902999999,14.52419355
COAH,"Venustiano Carranza, Coah.",VCRCL,-100.62,27.52,0.02,9.52,1.0,19.64285714,5.964285714,12.80357143
COAH,"Zapata, Coah.",ZPTCL,-100.9,29.03,0.0,164.0,32.0,17.4,4.633333333,11.01666667
COL,"Buena Vista, Col.",BVSCM,-103.61,19.25,138.0,147.01,24.0,32.69354839,15.5483871,24.12096774
COL,"Cerro de Ortega, Col.",CDOCM,-103.72,18.75,393.61,46.62,25.2,33.66129032,18.32258065,25.99193548
COL,"Derivadora Jala (Madrid), Col.",DJLCM,-103.88,19.11,155.93,49.21,22.2,32.59677419,16.75806452,24.67741935
COL,"La Posta, Col.",LPSCM,-103.73,19.22,97.34,80.81,34.7,33.20967742,17.37096774,25.29032258
COL,"Laguna de Amela, Col.",LDACM,-103.77,18.81,310.04,52.74,60.5,32.28333333,18.43333333,25.35833333
COL,"Manzanillo, Col.",MNZCM,-104.32,19.04,135.7,38.8,62.7,31.49677419,22.73870968,27.11774194
COL,"Radar, Col.",RDRCM,-103.73,19.22,157.92,21.8,34.7,34.12903226,19.96774194,27.048387100000003
DF,"Campamento Amealco, Cd. de Méx.",CEADF,-99.14,19.52,233.51,157.42,4.7,23.75806452,6.564516128999999,15.16129032
DF,"Desviación Alta, Cd. de Méx.",DATDF,-99.2,19.3,68.4,33.0,3.0,22.93548387,8.806451613,15.87096774
DF,"San Juan de Aragón, Cd. de Méx.",SJADF,-99.07,19.47,149.93,128.15,1.5,23.64516129,6.661290322999999,15.15322581
DF,"km 6+250 (Gran Canal), Cd. de Méx.",GCNDF,-99.09,19.48,189.7,162.8,1.4,21.69354839,4.806451613,13.25
DGO,"Caboraca, Dgo.",CBRDR,-104.81,24.54,101.13,18.03,24.5,18.40322581,0.935483871,9.669354839
DGO,"Canatlán, Dgo.",CNTDR,-104.75,24.5,155.9,34.4,36.4,23.25806452,2.129032258,12.69354839
DGO,"Ceballos, Dgo.",CEBDR,-104.12,26.52,40.59,15.54,0.0,23.87096774,1.0,12.43548387
DGO,"Ciudad Lerdo, Dgo.",CLRDR,-103.52,25.53,30.41,34.53,13.2,21.16129032,7.096774194,14.12903226
DGO,"Durango, Dgo.",DRGDR,-104.67,24.03,84.83,8.14,53.4,24.51612903,4.619354839,14.56774194
DGO,"Francisco Villa, Dgo.",FVLDR,-103.96,24.0,153.75,52.0,26.0,25.35483871,3.419354839,14.38709677
DGO,"Francisco Zarco, Dgo.",FZRDR,-103.77,25.27,6.09,22.52,16.0,21.548387100000003,7.870967742,14.70967742
DGO,"Guadalupe Victoria, Dgo. (hidro)",GVHDR,-104.75,23.96,116.21,19.83,44.5,19.83870968,4.6290322580000005,12.23387097
DGO,"Peña del Águila, Dgo.",PAGDR,-104.66,24.2,89.11,2.51,44.1,22.0,-0.225806452,10.88709677
DGO,"Presidente Guadalupe Victoria, Dgo.",GVCDR,-104.75,23.96,105.21,18.81,44.5,19.83870968,4.6290322580000005,12.23387097
DGO,"Salomé Acosta, Dgo.",SACDR,-105.44,25.22,40.13,30.34,15.0,23.12903226,1.822580645,12.47580645
DGO,"Tlahualilo, Dgo.",THODR,-103.44,26.11,44.82,59.0,14.5,22.41935484,4.258064516,13.33870968
DGO,"Villa Hidalgo, Dgo.",VHGDR,-104.93,26.24,51.01,98.01,6.5,21.61290323,1.0806451609999999,11.34677419
GRO,"Acapulco, Gro. SMN*",ACUGR,-99.75,16.76,200.8,112.4,0.2,33.2,18.80967742,26.00483871
GRO,"Ayutla, Gro.",AYUGR,-99.1,16.95,403.4,302.0,3.7,33.59677419,16.83870968,25.21774194
GRO,"Buena Vista, Gro.",BVSGR,-99.4,18.46,344.6,236.0,5.0,28.29032258,12.12903226,20.20967742
GRO,"Chichihualco, Gro.",CCHGR,-99.7,17.67,174.0,117.5,0.0,31.61290323,10.80645161,21.20967742
GRO,"Chilapa, Gro.",CHLGR,-99.18,17.61,139.0,130.0,4.5,27.38709677,10.25806452,18.82258065
GRO,"Chilpancingo, Gro.",CHIGR,-99.5,17.55,147.2,103.9,1.9,29.01612903,11.75806452,20.38709677
GRO,"Ciudad Altamirano, Gro.",CALGR,-100.66,18.36,295.1,146.7,0.0,34.37096774,16.59677419,25.48387097
GRO,"Iguala, Gro.",IGLGR,-99.55,18.35,277.0,187.1,3.8,32.18709677,15.48709677,23.83709677
GRO,"Observatorio de Acapulco, Gro.",ODAGR,-99.8,16.8,275.7,110.3,0.0,33.29677419,21.64193548,27.46935484
GRO,"Observatorio de Zumpango, Gro.",ODZGR,-99.5,17.6,140.4,118.5,0.6,28.22580645,14.51612903,21.37096774
GRO,"Olinala, Gro.",OLNGR,-98.74,17.78,341.5,364.0,0.0,37.12903226,11.12903226,24.12903226
GRO,"Ometepec, Gro.",OMEGR,-98.43,16.68,313.4,205.0,0.0,26.03225806,15.0,20.51612903
GRO,"Quetzala, Gro.",QTZGR,-98.5,16.66,433.3,198.8,1.3,32.77419355,17.77419355,25.27419355
GRO,"San Jerónimo, Gro.",SJEGR,-100.47,17.14,369.0,60.7,3.0,32.0,21.48387097,26.74193548
GRO,"Tierra Colorada, Gro.",TCOGR,-99.53,17.17,177.2,51.1,4.0,33.22580645,18.70967742,25.96774194
GRO,"Tlacotepec, Gro.",TLAGR,-99.98,17.79,305.4,140.3,11.0,19.64516129,8.290322581,13.96774194
GRO,"Tlapa, Gro.",TLPGR,-98.6,17.5,80.2,141.8,0.0,30.58064516,12.5483871,21.56451613
GRO,"Vicente Guerrero, Gro.",VGRGR,-100.27,18.38,189.4,147.5,0.0,36.58064516,14.33870968,25.45967742
GRO,"Xochihuehuetlán, Gro.",XXHGR,-98.49,17.9,320.5,177.0,0.0,33.67741935,10.48387097,22.08064516
GTO,"Abasolo, Gto.",ABSGJ,-101.52,20.43,198.54,56.01,0.0,25.451612899999997,9.564516129,17.50806452
GTO,"Acámbaro, Gto.",ACNGJ,-100.72,20.03,250.02,114.07,4.0,24.61290323,7.741935484,16.17741935
GTO,"Agua Tibia, Gto.",ATBGJ,-101.63,20.5,307.7,100.02,0.0,26.12903226,5.258064516,15.69354839
GTO,"Ameche, Gto.",AMCGJ,-100.58,20.55,244.52,86.52,8.0,25.85483871,6.0,15.92741935
GTO,"Apaseo el Alto, Gto.",APSGJ,-100.62,20.45,202.5,98.52,8.0,25.33870968,8.451612903,16.89516129
GTO,"Apaseo el Grande, Gto.",AEGGJ,-100.68,20.53,155.8,114.3,4.0,27.91935484,7.935483871000001,17.92741935
GTO,"Barbosa, Gto. Protección Civil*",BARBOSA,-101.63,21.29,425.01,113.14,21.5,21.41612903,6.135483871,13.77580645
GTO,"Celaya, Gto.",CLYGJ,-100.82,20.53,277.4,64.91,3.8,26.70967742,7.709677419,17.20967742
GTO,"Cinco Señores, Gto.",CSRGJ,-100.9,20.95,319.24,90.36,4.5,24.06451613,3.419354839,13.74193548
GTO,"Coroneo, Gto.",CORGJ,-100.36,20.2,234.7,89.9,11.9,23.64516129,2.516129032,13.08064516
GTO,"Cortázar, Gto.",CRTGJ,-100.95,20.48,229.8,146.0,7.0,25.70967742,7.387096774,16.5483871
GTO,"Cuerámaro, Gto.",CRMGJ,-101.67,20.62,259.6,82.1,0.0,26.61290323,9.64516129,18.12903226
GTO,"Dolores Hidalgo, Gto.",DHGGJ,-100.93,21.15,253.53,52.52,0.0,28.24193548,2.274193548,15.25806452
GTO,"El Barrial, Gto.",BRRGJ,-101.83,21.05,320.43,27.05,4.2,24.03225806,5.661290322999999,14.84677419
GTO,"El Conejo, Gto.",ECNGJ,-101.37,20.73,265.6,70.42,0.0,25.29032258,5.435483871000001,15.36290323
GTO,"El Cubo, Gto.",ECBGJ,-100.9,20.28,198.56,133.55,10.5,25.40322581,5.0806451610000005,15.24193548
GTO,"El Palote, Gto.",EPLGJ,-101.69,21.17,362.6,138.52,6.4,24.32258065,7.838709677000001,16.08064516
GTO,"Guanajuato, Gto.",GTOGJ,-101.26,21.01,482.1,98.01,1.4,23.78387097,8.035483871,15.90967742
GTO,"Ignacio Allende, Gto.",IALGJ,-100.83,20.85,293.42,95.73,4.0,24.74193548,6.112903226,15.42741935
GTO,"Irapuato, Gto.",IRPGJ,-101.35,20.68,250.8,68.01,0.0,24.33870968,8.725806452,16.53225806
GTO,"Jerécuaro, Gto.",JCRGJ,-100.52,20.13,280.93,45.22,0.8,24.46774194,4.709677419,14.58870968
GTO,"La Golondrina, Gto.",GLNGJ,-101.74,20.44,290.0,98.01,0.0,23.19354839,9.838709677,16.51612903
GTO,"La Purísima, Gto.",PRSGJ,-101.29,20.87,350.4,207.5,0.0,25.0,8.290322581,16.64516129
GTO,"La Quemada, Gto.",LQMGJ,-101.11,21.32,279.8,57.3,2.0,21.22580645,1.870967742,11.5483871
GTO,"Laguna de Yuriria, Gto.",LDYGJ,-101.07,20.29,186.07,75.55,23.0,24.06451613,5.741935484,14.90322581
GTO,"Las Adjuntas, Gto.",LADGJ,-101.84,20.68,220.8,128.8,1.4,24.25806452,4.516129032,14.38709677
GTO,"Las Jícamas, Gto.",LJIGJ,-101.36,20.28,291.0,61.4,5.0,25.451612899999997,7.7741935479999995,16.61290323
GTO,"León, Gto.",LENGJ,-101.67,21.1,266.32,157.05,6.0,25.46774194,10.11290323,17.79032258
GTO,"Los Castillos, Gto.",CSTGJ,-101.67,21.2,350.1,137.62,11.6,25.548387100000003,7.387096774,16.46774194
GTO,"Pericos, Gto.",PERGJ,-101.13,20.52,205.71,118.85,6.2,24.37096774,6.483870968,15.42741935
GTO,"Pozos, Gto.",POZGJ,-100.5,21.22,218.41,95.95,2.8,20.93548387,4.741935484,12.83870968
GTO,"Puente la Gavia, Gto.",LGVGJ,-100.87,20.38,304.0,163.0,0.0,25.29032258,4.548387097,14.91935484
GTO,"Salamanca, Gto.",SLMGJ,-101.2,20.57,215.82,80.87,5.6,25.91935484,8.0,16.95967742
GTO,"Salvatierra, Gto.",SLVGJ,-100.88,20.21,185.03,84.14,1.8,26.06451613,6.629032258,16.34677419
GTO,"San Felipe, Gto.",SFEGJ,-101.22,21.48,322.0,122.0,12.9,19.90322581,2.596774194,11.25
GTO,"San Luis de la Paz, Gto.",SLPGJ,-100.52,21.3,162.0,47.2,2.0,22.11290323,2.225806452,12.16935484
GTO,"San Miguel Octopan, Gto.",SMOGJ,-100.75,20.58,161.6,56.7,9.8,23.30645161,6.822580645,15.06451613
GTO,"San Miguel de Allende, Gto.",SMAGJ,-101.02,20.43,293.7,105.61,1.5,23.46774194,4.5,13.98387097
GTO,"Santa Julia, Gto.",SJLGJ,-101.02,20.4,204.2,126.8,5.7,25.79032258,5.806451612999999,15.7983871
GTO,"Santa Rita, Gto.",SRTGJ,-101.07,20.3,159.92,213.01,11.0,25.27419355,6.209677419,15.74193548
GTO,"Solís, Gto.",SLSGJ,-100.67,20.05,310.29,75.08,4.0,24.77419355,7.806451612999999,16.29032258
GTO,"Temascatío, Gto.",TEMGJ,-101.3,20.6,331.1,210.23,0.0,26.27419355,9.370967742000001,17.82258065
GTO,"Valle de Santiago, Gto.",VDSGJ,-101.18,20.39,231.51,47.53,10.0,23.32258065,6.677419355,15.0
GTO,"Xichú, Gto.",XICGJ,-100.09,21.3,147.22,126.91,4.7,26.13333333,8.483333333,17.30833333
HGO,"Actopan, Hgo.",ACTHD,-98.94,20.27,115.5,138.4,5.0,26.77419355,4.064516128999999,15.41935484
HGO,"Endhó, Hgo.",ENDHD,-99.36,20.16,266.51,138.52,6.5,24.77419355,6.0,15.38709677
HGO,"Ixmiquilpan, Hgo.",IXMHD,-99.22,20.48,117.63,134.5,13.7,23.51612903,7.806451612999999,15.66129032
HGO,"Javier Rojo Gómez, Hgo.",PRGHD,-99.33,20.36,241.02,145.04,5.0,23.93548387,7.322580645,15.62903226
HGO,"Mixquiahuala, Hgo.",MXQHD,-99.22,20.24,175.05,116.01,7.0,23.41935484,5.741935484,14.58064516
HGO,"Observatorio de Pachuca, Hgo.",PCOHD,-98.75,20.12,139.9,104.6,9.7,21.91290323,5.174193548,13.54354839
HGO,"Requena, Hgo.",PRQHD,-99.31,19.96,151.0,96.01,3.0,24.53225806,4.709677419,14.62096774
HGO,"Taxhimay, Hgo.",TXMHD,-99.39,19.83,180.0,163.5,2.5,24.61290323,2.419354839,13.51612903
HGO,"Tulancingo, Hgo.",TLGHD,-98.37,20.08,54.41,136.1,12.7,22.6,6.283870968,14.44193548
HGO,"Vicente Aguirre, Hgo.",PVAHD,-99.38,20.44,222.02,136.04,6.0,23.64516129,6.741935484,15.19354839
HGO,"Zacualtipán, Hgo.",ZXTHD,-98.65,20.65,115.0,155.5,92.0,21.13333333,6.266666667000001,13.7
JAL,"Basilio Vadillo, Jal.",BBAJL,-104.06,19.91,68.0,58.51,64.0,32.80645161,11.70967742,22.25806452
JAL,"Bocas, Jal.",BCSJL,-103.73,22.4,153.31,86.41,26.8,27.17741935,2.5,14.83870968
JAL,"Cajón de Peña, Jal.",CPEJL,-105.13,20.0,159.51,1.51,2.5,30.16129032,20.80645161,25.48387097
JAL,"Colotlán, Jal.",CLTJL,-103.25,22.13,81.4,74.7,2.8,25.51290323,4.106451613,14.80967742
JAL,"Cuale, Jal.",CULJL,-105.05,20.58,175.24,65.93,88.1,29.59677419,16.77419355,23.18548387
JAL,"Guadalajara Centro, Jal.",GUAJL,-103.37,20.67,311.2,96.12,1.2,24.41935484,10.72580645,17.57258065
JAL,"Jamay, Jal.",JMYJL,-102.71,20.29,213.5,113.7,6.0,23.29032258,5.7354838710000005,14.51290323
JAL,"Lago de Chapala, Jal.",LDCJL,-103.2,20.29,101.52,74.9,10.3,23.0,13.0,18.0
JAL,"Tlajomulco, Jal. SMN*",TLAJOMULCO,-103.42,20.44,108.0,141.0,25.8,25.6,5.95483871,15.77741935
JAL,"Tlaquepaque, Jal.",TLAJL,-103.32,20.58,232.75,124.23,27.0,26.77419355,10.67741935,18.72580645
MEX,"Atenco (Río Xalapan), Méx.",ATEMX,-98.91,19.54,78.48,127.48,1.0,22.93548387,1.741935484,12.33870968
MEX,"Calacoaya, Méx.",CLYMX,-99.24,19.53,185.7,82.1,8.2,21.43548387,5.338709677,13.38709677
MEX,"Chapingo, Méx.",CHPMX,-98.88,19.48,122.1,206.5,7.8,24.83870968,3.725806452,14.28225806
MEX,"Danxhó, Méx.",DNXMX,-99.56,19.88,179.03,177.02,7.0,18.64516129,0.7419354840000001,9.693548387
MEX,"El Molinito Río Hondo, Méx.",EMOMX,-99.24,19.45,257.7,90.91,16.0,24.0,-1.096774194,11.4516129
MEX,"José Antonio Alzate, Méx.",SBBMX,-99.7,19.47,325.0,183.0,5.0,21.12903226,-1.935483871,9.596774194
MEX,"La Concepción, Méx.",CNPMX,-99.3,19.7,224.9,74.5,6.0,22.32258065,2.935483871,12.62903226
MEX,"La Grande, Méx.",GRDMX,-98.92,19.58,108.42,180.12,0.0,22.25806452,7.258064516,14.75806452
MEX,"Las Arboledas, Méx.",ARBMX,-99.22,19.57,184.7,125.14,9.5,23.35483871,5.661290322999999,14.50806452
MEX,"Molino Blanco, Méx.",MBLMX,-99.22,19.48,277.51,49.03,6.0,21.48387097,4.741935484,13.11290323
MEX,"Presa Totolica, Méx.",PTLMX,-99.28,19.45,232.7,120.51,14.5,21.048387100000003,2.419354839,11.73387097
MEX,"Puente Colgante, Méx.",PCGMX,-99.18,19.74,176.02,74.54,4.5,21.0,2.419354839,11.70967742
MEX,"Rectoría, Méx.",RECMX,-99.65,19.3,177.93,118.54,0.7,17.97096774,6.806451612999999,12.38870968
MEX,"San Andrés (Texcoco), Méx.",SADMX,-98.91,19.53,140.91,193.91,13.0,22.38709677,4.483870968,13.43548387
MEX,"San Juan de las Huertas, Méx.",SJHMX,-99.76,19.24,141.3,136.0,7.4,16.83870968,2.483870968,9.661290323
MEX,"San Lucas, Mex.",SNLMX,-98.86,19.64,72.05,100.33,3.0,22.0,3.193548387,12.59677419
MEX,"San Luis Ameca, Méx.",SLAMX,-98.87,19.19,53.1,94.42,1.5,21.43548387,3.85483871,12.64516129
MEX,"San Martín Obispo, Méx.",OBSMX,-99.19,19.62,171.9,75.8,4.8,21.24193548,7.387096774,14.31451613
MEX,"Santa María del Llano, Méx.",SMLMX,-99.8,19.63,247.02,229.02,20.0,24.61290323,-2.290322581,11.16129032
MEX,"Tajo de Tequixquiac, Mex.",TTQMX,-99.12,19.9,139.53,87.04,4.0,22.19354839,1.967741935,12.08064516
MEX,"Totolica (hidro), Méx.",TTLMX,-99.28,19.45,214.7,96.6,15.2,23.70967742,7.483870968,15.59677419
MEX,"Trojes, Méx.",TROMX,-100.28,19.1,213.9,133.6,0.1,22.11290323,2.5,12.30645161
MEX,"km 27+250, Méx.",K27MX,-99.05,19.63,182.82,91.1,2.0,22.0,8.032258065,15.01612903
MICH,"Apatzingán, Mich.",APTMC,-102.37,19.08,153.51,63.5,0.5,33.53225806,15.09677419,24.31451613
MICH,"Apatzingán, Mich. SMN*",APAMC,-102.37,19.08,129.6,50.6,0.0,34.7483871,17.71935484,26.23387097
MICH,"Aristeo Mercado, Mich.",AMEMC,-101.66,19.93,162.2,18.6,2.0,24.47741935,6.467741935,15.47258065
MICH,"Barraje de Ibarra, Mich.",BIBMC,-102.42,20.18,200.5,90.53,4.0,25.22580645,5.5,15.36290323
MICH,"Casa Blanca, Mich.",CBLMC,-101.46,20.32,242.02,57.55,7.5,24.30645161,5.112903226,14.70967742
MICH,"Ciudad Hidalgo, Mich.",CHIMC,-100.55,19.7,188.5,119.01,22.5,22.96774194,5.112903226,14.04032258
MICH,"Constitución de Apatzingán, Mich.",CHLMC,-102.77,19.29,325.0,90.0,0.0,37.51612903,15.29032258,26.40322581
MICH,"Coíntzio, Mich.",COIMC,-101.26,19.63,182.52,111.38,7.2,24.06129032,5.4193548389999995,14.74032258
